3; ./256ED ./ED256/ps2/ 1 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
0    0   20.5668   0.211367    3.40851   38      
0    1   55.8548   0.544606    8.78232   94.2    
0    2   72.3886   0.606357    9.77811   98.2    
0    3   75.966    0.658281    10.6154   100     
0    4   76.9904   0.714844    11.5276   105.8   
0    5   78.3872   0.724956    11.6906   105.8   
0    6   78.4464   0.773233    12.4692   108.8   
0    7   78.6316   0.799586    12.8941   108.8   
0    8   78.7912   0.80263     12.9432   108.8   
0    9   79.5558   0.786454    12.6824   108.8   
0    10  79.317    0.82067     13.2341   108.8   
0    11  80.122    0.805622    12.9915   109.4   
0    12  80.0972   0.841454    13.5693   112.8   
0    13  80.7272   0.831877    13.4149   112.8   
0    14  81.2922   0.852166    13.742    112.8   
0    15  81.2736   0.857424    13.8268   112.8   
0    16  81.407    0.848628    13.685    112.8   
0    17  81.379    0.852496    13.7473   112.8   
0    18  81.4828   0.887396    14.3101   112.8   
0    19  81.244    0.893115    14.4024   112.8   
0    20  81.667    0.867638    13.9915   112.8   
0    21  81.8758   0.865657    13.9596   112.8   
0    22  81.7942   0.897241    14.4689   112.8   
0    23  81.7582   0.89048     14.3599   112.8   
0    24  81.987    0.905301    14.5989   112.8   
0    25  82.591    0.885371    14.2775   112.8   
0    26  82.5184   0.880737    14.2028   112.8   
0    27  82.9602   0.886549    14.2965   112.8   
0    28  82.6538   0.906861    14.624    112.8   
0    29  82.9508   0.898824    14.4944   112.8   
0    30  82.67     0.898322    14.4863   112.8   
0    31  82.6492   0.890236    14.3559   112.8   
0    32  83.0468   0.892799    14.3973   112.8   
0    33  83.1606   0.915053    14.7561   112.8   
0    34  82.894    0.916079    14.7727   112.8   
0    35  83.3062   0.899898    14.5118   112.8   
0    36  83.366    0.908995    14.6585   113.4   
0    37  83.2248   0.895534    14.4414   113.4   
0    38  83.1496   0.898378    14.4872   113.4   
0    39  82.928    0.934032    15.0622   113.4   
0    40  83.9954   0.896483    14.4567   113.4   
0    41  83.0424   0.915742    14.7673   113.4   
0    42  83.0884   0.938782    15.1388   113.4   
0    43  83.149    0.921914    14.8668   113.4   
0    44  83.1112   0.901946    14.5448   113.4   
0    45  83.6076   0.917534    14.7961   113.4   
0    46  83.1574   0.944791    15.2357   113.4   
0    47  83.2124   0.919065    14.8208   113.4   
0    48  83.554    0.933669    15.0563   113.4   
0    49  83.407    0.935383    15.084    113.6   
0    50  83.3864   0.927557    14.9578   113.6   
0    51  83.5864   0.922135    14.8703   113.6   
0    52  83.2354   0.922998    14.8843   116.4   
0    53  83.8744   0.927065    14.9499   116.4   
0    54  83.7208   0.929279    14.9856   116.4   
0    55  83.654    0.905978    14.6098   118.6   
0    56  84.0388   0.906241    14.614    118.6   
0    57  83.1706   0.947245    15.2753   118.6   
0    58  83.2976   0.956723    15.4281   118.6   
0    59  83.6414   0.942294    15.1954   118.6   
0    60  83.5392   0.926923    14.9476   118.6   
0    61  83.9324   0.941459    15.182    120.2   
0    62  83.3682   0.962547    15.522    120.2   
0    63  83.9314   0.944167    15.2256   120.2   
0    64  84.084    0.939339    15.1478   120.2   
0    65  83.5036   0.969107    15.6278   120.2   
0    66  84.5114   0.936659    15.1046   120.2   
0    67  84.1122   0.949229    15.3073   120.2   
0    68  84.133    0.954645    15.3946   120.2   
0    69  84.2522   0.94536     15.2449   120.2   
0    70  84.1064   0.961396    15.5035   120.2   
0    71  84.3676   0.95303     15.3686   120.2   
0    72  84.2542   0.946385    15.2614   120.2   
0    73  84.3098   0.940598    15.1681   120.2   
0    74  83.9992   0.970915    15.657    120.2   
0    75  84.7936   0.92814     14.9672   120.2   
0    76  85.0296   0.93271     15.0409   120.2   
0    77  84.6428   0.939336    15.1477   120.2   
0    78  83.8642   0.967542    15.6026   120.2   
0    79  84.4054   0.977593    15.7647   120.2   
0    80  84.371    0.972082    15.6758   120.2   
0    81  84.7758   0.946322    15.2604   120.2   
0    82  84.7624   0.9563      15.4213   120.2   
0    83  84.0284   0.981359    15.8254   120.2   
0    84  84.2864   0.976686    15.75     120.2   
0    85  84.3784   0.964903    15.56     120.2   
0    86  84.5124   0.970512    15.6505   120.2   
0    87  84.7648   0.962152    15.5157   120.2   
0    88  84.8706   0.965013    15.5618   120.2   
0    89  84.5808   0.963182    15.5323   120.2   
0    90  84.73     0.974763    15.719    120.2   
0    91  84.6344   0.973871    15.7047   120.2   
0    92  84.7554   0.959897    15.4793   120.2   
0    93  84.6278   0.978005    15.7713   120.2   
0    94  84.6906   0.952787    15.3646   120.2   
0    95  84.1708   0.968962    15.6255   120.2   
0    96  84.5374   0.96611     15.5795   120.2   
0    97  84.672    0.949433    15.3106   120.2   
0    98  85.3476   0.925178    14.9194   120.2   
0    99  84.7856   0.963943    15.5445   120.2   
0    100 85.0102   0.946369    15.2612   120.2   
Done run 0 of 29

Beginning Run 1 of 29
Run  RI  Mean      95% CI      SD        Best    
1    0   20.6368   0.20213     3.25955   39.2    
1    1   54.021    0.51652     8.3294    87.2    
1    2   72.596    0.597658    9.63784   98      
1    3   75.8648   0.687857    11.0924   102     
1    4   77.0022   0.739993    11.9331   102     
1    5   77.8916   0.778683    12.557    106.6   
1    6   78.6076   0.775339    12.5031   106.6   
1    7   79.3924   0.781099    12.596    109.8   
1    8   78.9706   0.819274    13.2116   109.8   
1    9   79.573    0.821025    13.2399   109.8   
1    10  79.2278   0.835256    13.4693   109.8   
1    11  80.306    0.813833    13.1239   109.8   
1    12  80.6794   0.805218    12.985    109.8   
1    13  80.3156   0.861223    13.8881   109.8   
1    14  80.4812   0.84361     13.6041   109.8   
1    15  80.2594   0.881289    14.2117   109.8   
1    16  80.42     0.875352    14.1159   109.8   
1    17  80.8134   0.871005    14.0458   109.8   
1    18  80.9354   0.870911    14.0443   109.8   
1    19  81.2902   0.871446    14.0529   109.8   
1    20  81.693    0.860418    13.8751   109.8   
1    21  81.3638   0.8772      14.1457   109.8   
1    22  81.612    0.872395    14.0682   109.8   
1    23  81.347    0.900905    14.528    109.8   
1    24  81.1104   0.904426    14.5848   109.8   
1    25  81.6014   0.887907    14.3184   109.8   
1    26  81.7246   0.890267    14.3564   109.8   
1    27  81.6844   0.899225    14.5009   109.8   
1    28  82.0994   0.875412    14.1169   109.8   
1    29  81.7428   0.896703    14.4602   109.8   
1    30  81.7704   0.883264    14.2435   109.8   
1    31  82.3264   0.898701    14.4925   109.8   
1    32  81.9052   0.895195    14.4359   111.6   
1    33  82.6522   0.861524    13.8929   111.6   
1    34  81.9194   0.896127    14.4509   111.6   
1    35  82.4228   0.877652    14.153    111.6   
1    36  82.1368   0.896676    14.4598   111.6   
1    37  82.707    0.898258    14.4853   111.6   
1    38  82.1952   0.909514    14.6668   111.6   
1    39  83.1632   0.885132    14.2736   111.6   
1    40  83.079    0.890141    14.3544   111.6   
1    41  82.6324   0.915497    14.7633   111.6   
1    42  83.3158   0.890199    14.3553   111.6   
1    43  83.1982   0.919719    14.8314   111.6   
1    44  83.0324   0.92084     14.8495   111.6   
1    45  83.0342   0.906096    14.6117   111.6   
1    46  83.3612   0.909737    14.6704   112.2   
1    47  82.4964   0.935941    15.093    112.2   
1    48  82.9956   0.925219    14.9201   112.2   
1    49  83.0124   0.939467    15.1498   112.2   
1    50  83.6434   0.917653    14.7981   112.2   
1    51  82.758    0.920701    14.8472   112.2   
1    52  82.5546   0.93693     15.1089   112.2   
1    53  82.423    0.917519    14.7959   112.2   
1    54  82.9314   0.936495    15.1019   112.2   
1    55  82.972    0.922033    14.8687   118.4   
1    56  82.4944   0.943435    15.2138   118.4   
1    57  82.9468   0.93366     15.0562   118.4   
1    58  82.3086   0.941924    15.1895   118.4   
1    59  83.2042   0.919377    14.8259   118.4   
1    60  83.1362   0.922771    14.8806   118.4   
1    61  82.876    0.919776    14.8323   118.4   
1    62  83.0992   0.931876    15.0274   118.4   
1    63  82.5218   0.942008    15.1908   118.4   
1    64  83.2316   0.927176    14.9516   118.4   
1    65  83.3716   0.910885    14.6889   118.4   
1    66  83.5528   0.929816    14.9942   118.4   
1    67  83.5298   0.924621    14.9104   118.4   
1    68  83.4744   0.92173     14.8638   118.4   
1    69  83.2632   0.934172    15.0645   118.4   
1    70  83.2374   0.927869    14.9628   118.4   
1    71  83.8588   0.940139    15.1607   118.4   
1    72  83.6174   0.944924    15.2378   118.4   
1    73  83.319    0.924668    14.9112   118.4   
1    74  83.2018   0.916216    14.7749   118.4   
1    75  83.7746   0.903557    14.5708   118.4   
1    76  83.2568   0.943921    15.2217   118.4   
