7; ./512ED ./ED512/ps2/ 1 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
0    0   24.5508   0.201862    3.25523   39.8    
0    1   51.1594   0.437624    7.05713   98.6    
0    2   91.4596   0.876108    14.1281   179     
0    3   128.644   1.12886     18.204    179     
0    4   141.097   1.41913     22.8849   200.2   
0    5   146.374   1.54142     24.857    200.2   
0    6   149.193   1.56157     25.1819   204     
0    7   149.878   1.66728     26.8865   204     
0    8   151.612   1.66734     26.8876   206.6   
0    9   152.814   1.72364     27.7954   214     
0    10  153.927   1.73823     28.0308   214     
0    11  155.344   1.7004      27.4207   214     
0    12  154.561   1.81878     29.3297   214     
0    13  154.389   1.81534     29.2742   216.2   
0    14  154.873   1.862       30.0266   216.2   
0    15  155.886   1.8184      29.3235   216.2   
0    16  155.481   1.85667     29.9406   216.2   
0    17  155.338   1.90012     30.6413   216.2   
0    18  157.618   1.84881     29.8139   216.2   
0    19  156.988   1.86952     30.1479   216.2   
0    20  155.922   1.90573     30.7319   216.2   
0    21  157.372   1.85218     29.8683   216.2   
0    22  156.956   1.87074     30.1675   216.2   
0    23  156.517   1.91309     30.8505   217     
0    24  156.556   1.93031     31.1282   217     
0    25  157.497   1.90828     30.7728   217     
0    26  156.419   1.94013     31.2866   217     
0    27  157.055   1.93182     31.1526   217     
0    28  157.532   1.9252      31.0458   217     
0    29  157.354   1.94377     31.3453   217     
0    30  157.717   1.89699     30.5909   217     
0    31  157.658   1.93903     31.2687   217     
0    32  157.824   1.89223     30.514    217     
0    33  158.505   1.90668     30.7471   217     
0    34  157.637   1.96106     31.624    217     
0    35  157.419   1.98525     32.0141   217     
0    36  157.409   1.95163     31.4721   223.6   
0    37  158.353   1.9347      31.1991   223.6   
0    38  158.254   1.98065     31.9399   223.6   
0    39  158.05    1.95462     31.5202   223.6   
0    40  158.767   1.91432     30.8703   223.6   
0    41  158.28    1.97989     31.9277   223.6   
0    42  158.694   1.9365      31.228    223.6   
0    43  159.07    1.99166     32.1175   223.6   
0    44  158.051   1.99861     32.2296   223.6   
0    45  158.917   1.98047     31.9371   223.6   
0    46  157.001   2.03782     32.8618   223.6   
0    47  158.813   1.96863     31.7461   223.6   
0    48  158.926   2.00709     32.3664   223.6   
0    49  159.078   2.01816     32.5449   223.6   
0    50  159.579   1.99186     32.1208   223.6   
0    51  160.642   1.9466      31.3909   223.6   
0    52  158.625   2.01899     32.5583   223.6   
0    53  158.097   2.06925     33.3688   223.6   
0    54  159.418   2.05803     33.1878   223.6   
0    55  159.457   2.02576     32.6675   223.6   
0    56  159.796   1.98712     32.0442   223.6   
0    57  159.741   2.01156     32.4385   223.6   
0    58  159.851   2.01295     32.4609   223.6   
0    59  159.879   2.01245     32.4527   223.6   
0    60  160.207   1.99593     32.1864   223.6   
0    61  160.085   2.01597     32.5096   223.6   
0    62  159.721   2.04209     32.9308   223.6   
0    63  159.652   1.99069     32.1018   224     
0    64  159.34    2.0686      33.3582   224     
0    65  159.849   2.05942     33.2101   224     
0    66  159.655   2.05524     33.1428   224     
0    67  159.141   2.01618     32.5128   224     
0    68  159.52    1.99389     32.1535   224     
0    69  160.311   2.01335     32.4672   224     
0    70  159.887   2.01893     32.5572   224     
0    71  159.57    2.01653     32.5185   224     
0    72  161.069   2.01197     32.445    224     
0    73  159.12    2.07648     33.4853   224     
0    74  159.158   2.06962     33.3746   224     
0    75  160.007   2.0522      33.0938   224     
0    76  160.597   2.02681     32.6844   224     
0    77  159.165   2.04691     33.0085   224     
0    78  158.444   2.07335     33.4348   224     
0    79  159.682   2.04687     33.0078   224     
0    80  160.273   2.03152     32.7603   224     
0    81  159.924   2.03925     32.885    224     
0    82  159.972   2.04783     33.0233   224     
0    83  160.379   1.97996     31.9289   224     
0    84  159.022   2.04917     33.045    224     
0    85  159.001   2.0642      33.2873   224     
0    86  160.631   2.03201     32.7681   224     
0    87  159.774   2.04427     32.9659   224     
0    88  160.516   2.03945     32.8882   224     
0    89  159.598   2.12791     34.3148   224     
0    90  159.733   2.0637      33.2792   224     
0    91  160.074   2.05583     33.1522   224     
0    92  159.957   2.03685     32.8463   224     
0    93  160.706   2.01152     32.4377   224     
0    94  161.163   1.98758     32.0517   224     
0    95  160.262   2.06122     33.2392   224     
0    96  160.205   2.06426     33.2883   224     
0    97  160.694   2.054       33.1229   224     
0    98  161.629   2.01398     32.4775   224     
0    99  161.958   2.00315     32.3029   224     
0    100 160.687   2.04242     32.936    224     
Done run 0 of 29

Beginning Run 1 of 29
Run  RI  Mean      95% CI      SD        Best    
1    0   24.6272   0.194935    3.14352   36.2    
1    1   45.4926   0.366692    5.91327   71.6    
1    2   76.35     0.669106    10.79     119.8   
1    3   117.387   1.15546     18.633    188.6   
1    4   140.055   1.3587      21.9104   205.8   
1    5   146.379   1.52487     24.5901   206.8   
1    6   149.498   1.62925     26.2733   206.8   
1    7   151.64    1.70677     27.5234   207     
1    8   153.304   1.7052      27.4981   207     
1    9   154.301   1.73171     27.9256   210.6   
1    10  154.034   1.79582     28.9593   210.6   
1    11  154.802   1.78004     28.705    210.6   
1    12  154.749   1.83362     29.5689   211.4   
1    13  155.165   1.82645     29.4533   211.4   
1    14  155.984   1.80128     29.0475   211.4   
1    15  157.35    1.78511     28.7867   211.4   
1    16  156.905   1.8368      29.6202   220.2   
1    17  157.374   1.86344     30.0498   220.2   
1    18  157.979   1.85851     29.9703   220.2   
1    19  156.598   1.9122      30.8362   220.2   
1    20  157.637   1.87631     30.2574   220.2   
1    21  157.69    1.88754     30.4385   220.2   
1    22  157.905   1.87419     30.2232   220.2   
1    23  158.323   1.88237     30.355    220.2   
1    24  156.944   1.96158     31.6325   220.2   
1    25  158.42    1.91993     30.9608   220.2   
1    26  157.454   1.96983     31.7655   220.2   
1    27  158.113   1.95837     31.5807   220.2   
1    28  158.143   1.93555     31.2126   220.2   
1    29  158.147   1.98143     31.9525   220.2   
1    30  157.613   1.95698     31.5582   220.2   
1    31  157.187   1.9803      31.9343   220.2   
1    32  158.167   1.98401     31.9941   220.2   
